x	y	count	population1	population2
113.62184	23.445765	1	C4	orange
112.922743	23.437277	1	C4	orange
117.236219	39.077491	1	C4	orange
112.591591	22.713809	1	C4	orange
120.213498	30.371805	1	C3	green
108.368155	22.827131	1	C1	red
11.349413	43.023698	1	C3	green
116.292655	39.964034	1	C3	green
100.512398	15.969084	1	C1	red
80.284611	20.518953	1	C1	red
12.45325	42.644561	1	C3	green
116.445582	39.973766	1	C3	green
79.456732	20.492952	1	C2	blue
78.85882	20.232688	1	C2	blue
10.319164	44.936491	1	C2	blue
80.726428	7.560684	1	out	black
9.656861	44.844943	1	C2	blue
9.712053	44.779462	1	C2	blue
10.263972	44.477286	1	C2	blue
10.871083	43.921399	1	C2	blue
32.811408	39.990976	1	C2	blue
12.747607	42.426861	1	C3	green
12.416456	42.698867	1	C3	green
-3.822867	40.495215	1	C2	blue
-4.190813	40.241915	1	C2	blue
35.172702	31.570788	1	out	black
79.357435	20.863952	1	C2	blue
-3.086976	40.241915	1	C2	blue
116.40735	39.92332	1	C3	green
12.563634	42.522199	1	C3	green
108.941704	34.339739	1	C3	green
